,P1,P2,P3,Cluster,ID
76,-8.52110688985657,4.551963687691727,-2.9497992848498136,2,NSA_13
77,-9.13328919104999,-2.3553760632730816,3.0324058854604785,2,NSA_14
78,-8.146106716871268,-4.140220619523076,0.9750469953692638,2,NSA_22
79,-6.746810002508429,5.345316299096629,4.903582771620435,2,NSA_07
80,-8.241117389501092,0.6276796345449795,5.3158319408651735,2,NSA_09
81,-8.18962861425864,2.3707732867763283,4.64659303802376,2,NSA_08
82,-5.346874500835601,8.879074833526714,0.9895449497444784,0,NSA_01
83,-4.8355698093988195,7.894852579694618,-3.171933277968043,1,NSA_06
84,-5.207710263662989,-7.943179657055392,1.8874730278700196,3,CIA_17
85,-0.286249728198176,-1.9374587011823552,8.744078031013567,0,DIA_02
